CHARACTER_PK,USER_ID,CHARACTER_NO,CHARACTER_NAME,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77429,U0008,2,CHAR0008-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77430,U0008,3,CHAR0008-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77431,U0008,4,CHAR0008-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77459,U0009,1,CHAR0009-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77460,U0009,2,CHAR0009-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77461,U0009,3,CHAR0009-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77462,U0009,4,CHAR0009-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
78141,U0010,1,CHAR0010-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
78142,U0010,2,CHAR0010-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
78143,U0010,3,CHAR0010-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
78144,U0010,4,CHAR0010-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
