CHARACTER_PK,EQUIP_SLOT,ITEM_PK,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77336,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77336,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77336,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77336,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77336,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77336,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77337,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77337,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77337,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77337,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77337,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77337,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77338,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77338,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77338,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77338,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77338,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77338,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77366,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77366,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77366,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77366,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77366,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77366,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77367,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77367,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77367,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77367,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77367,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77367,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77368,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77368,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77368,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77368,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77368,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77368,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77369,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77369,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77369,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77369,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77369,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77369,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77274,7,,step09,2026-07-15T22:19:02.197,step09,2026-07-15T22:19:02.197
77274,8,10060,step09,2026-07-15T22:19:02.197,step09,2026-07-15T22:19:02.197
