CSP_B.characterPk,CSP_B.magicId,SM_B.magicId,SM_B.magicTypeId,SM_B.magicName,SM_B.mainEffect,SM_B.subEffect
77273,50794,50794,3,MAGIC000-39,nihil,all status
77273,53429,53429,9,MAGIC002-9,wind,
77273,57943,57943,9,MAGIC000-9,frame,
77273,64099,64099,9,MAGIC004-9,thunderbolt,
77273,75545,75545,7,MAGIC001-19,water,
77273,76506,76506,5,MAGIC001-29,nihil,all status
77273,77467,77467,3,MAGIC001-39,nihil,all status
77273,80390,80390,9,MAGIC001-9,water,
77273,87473,87473,9,MAGIC006-9,dark,
77273,91082,91082,7,MAGIC002-19,wind,
77273,92043,92043,5,MAGIC002-29,nihil,all status
77273,93004,93004,3,MAGIC002-39,nihil,all status
77273,93915,93915,7,MAGIC003-19,earth,
77273,94876,94876,5,MAGIC003-29,nihil,all status
77273,95837,95837,3,MAGIC003-39,nihil,all status
77399,13702,13702,7,MAGIC003-7,earth,
77399,19390,19390,5,MAGIC004-17,nihil,all status
77399,20351,20351,3,MAGIC004-27,nihil,all status
77399,21312,21312,1,MAGIC004-37,thunderbolt,
77399,22223,22223,5,MAGIC005-17,nihil,all status
77399,23184,23184,3,MAGIC005-27,nihil,all status
77399,24145,24145,1,MAGIC005-37,light,
77399,37076,37076,7,MAGIC005-7,light,
77399,37760,37760,5,MAGIC006-17,nihil,all status
77399,38721,38721,3,MAGIC006-27,nihil,all status
77399,39682,39682,1,MAGIC006-37,dark,
77399,48810,48810,5,MAGIC000-17,nihil,all status
77399,49771,49771,3,MAGIC000-27,nihil,all status
77399,50732,50732,1,MAGIC000-37,frame,
77399,53367,53367,7,MAGIC002-7,wind,
77399,57881,57881,7,MAGIC000-7,frame,
77399,64037,64037,7,MAGIC004-7,thunderbolt,
77399,75483,75483,5,MAGIC001-17,nihil,all status
77399,76444,76444,3,MAGIC001-27,nihil,all status
77399,77405,77405,1,MAGIC001-37,water,
77399,80328,80328,7,MAGIC001-7,water,
77399,87411,87411,7,MAGIC006-7,dark,
77399,91020,91020,5,MAGIC002-17,nihil,all status
77399,91981,91981,3,MAGIC002-27,nihil,all status
77399,92942,92942,1,MAGIC002-37,wind,
77399,93853,93853,5,MAGIC003-17,nihil,all status
77399,94814,94814,3,MAGIC003-27,nihil,all status
77399,95775,95775,1,MAGIC003-37,earth,
78144,19173,19173,10,MAGIC004-10,thunderbolt,DEX
78144,20134,20134,8,MAGIC004-20,thunderbolt,HP
78144,21095,21095,6,MAGIC004-30,thunderbolt,DEX
78144,22006,22006,10,MAGIC005-10,light,DEX
78144,22056,22056,4,MAGIC004-40,thunderbolt,HP
78144,22967,22967,8,MAGIC005-20,light,HP
78144,23928,23928,6,MAGIC005-30,light,DEX
78144,24889,24889,4,MAGIC005-40,light,HP
78144,37543,37543,10,MAGIC006-10,dark,DEX
78144,38504,38504,8,MAGIC006-20,dark,HP
78144,39465,39465,6,MAGIC006-30,dark,DEX
78144,40426,40426,4,MAGIC006-40,dark,HP
78144,48593,48593,10,MAGIC000-10,frame,DEX
78144,49554,49554,8,MAGIC000-20,frame,HP
78144,50515,50515,6,MAGIC000-30,frame,DEX
78144,51476,51476,4,MAGIC000-40,frame,HP
78144,75266,75266,10,MAGIC001-10,water,DEX
78144,76227,76227,8,MAGIC001-20,water,HP
78144,77188,77188,6,MAGIC001-30,water,DEX
78144,78149,78149,4,MAGIC001-40,water,HP
78144,90803,90803,10,MAGIC002-10,wind,DEX
78144,91764,91764,8,MAGIC002-20,wind,HP
78144,92725,92725,6,MAGIC002-30,wind,DEX
78144,93636,93636,10,MAGIC003-10,earth,DEX
78144,93686,93686,4,MAGIC002-40,wind,HP
78144,94597,94597,8,MAGIC003-20,earth,HP
78144,95558,95558,6,MAGIC003-30,earth,DEX
78144,96519,96519,4,MAGIC003-40,earth,HP
