ITEM_PK,ITEM_TYPE,ITEM_NAME,MAIN_EFFECT,SUB_EFFECT,EQUIPABLE_SLOT,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
11570,6,ITEM0013,STR,,2,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11571,7,ITEM0014,STR,STR,3,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11572,8,ITEM0015,VIT,,4,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11573,1,ITEM0016,HP,HP,5,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11574,2,ITEM0017,MP,,6,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11575,3,ITEM0018,MP,MP,1,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11576,4,ITEM0019,SP,,2,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11598,5,ITEM0020,SP,SP,3,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11599,6,ITEM0021,STR,,4,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11600,7,ITEM0022,STR,STR,5,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11601,8,ITEM0023,VIT,,6,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11602,1,ITEM0024,HP,HP,1,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11603,2,ITEM0025,MP,,2,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11604,3,ITEM0026,MP,MP,3,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11605,4,ITEM0027,SP,,4,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11606,5,ITEM0028,SP,SP,5,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11607,6,ITEM0029,STR,,6,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11629,7,ITEM0030,STR,STR,1,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11630,8,ITEM0031,VIT,,2,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11631,1,ITEM0032,HP,HP,3,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11632,2,ITEM0033,MP,,4,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11633,3,ITEM0034,MP,MP,5,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11634,4,ITEM0035,SP,,6,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11635,5,ITEM0036,SP,SP,1,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11636,6,ITEM0037,STR,,2,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11637,7,ITEM0038,STR,STR,3,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11638,8,ITEM0039,VIT,,4,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11660,1,ITEM0040,HP,HP,5,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
